#,Company,Location,# Laid Off,Date,%,Industry
386,GetYourGuide,Berlin     Non-,90,10/14/2020,17%,Travel
387,OLX India,New Delhi     N,250,10/10/2020,,Marketing
388,Chef,Seattle,,10/8/2020,,Infrastruc…
389,Alto Pharmacy,SF Bay Area,47,9/29/2020,6%,Healthcare
390,TheWrap,Los Angeles,,9/29/2020,,Media
391,HumanForest,London     No,,9/25/2020,,Transport…
392,WeWork,Shenzen     No,,9/23/2020,,Real Estate
393,Air,New York …,,9/16/2020,16%,Marketing
394,NS8,Las Vegas,240,9/11/2020,95%,Data
395,Bleacher Report,London     No,20,9/11/2020,,Media
396,HubHaus,SF Bay Area,,9/11/2020,100%,Real Estate
397,Waze,SF Bay Area,30,9/9/2020,5%,Transport…
398,Ouster,SF Bay Area,,9/8/2020,10%,Transport…
399,Swing Education,SF Bay Area,,9/5/2020,,Education
400,Akerna,Denver,,9/2/2020,,Logistics
401,Awok,Dubai     Non-,,9/2/2020,100%,Retail
402,Big Fish Games,Seattle,250,9/1/2020,,Media
403,GoBear,Singapore,22,9/1/2020,11%,Finance
404,MakeMyTrip,New Delhi     N,350,8/31/2020,10%,Travel
405,Salesforce,SF Bay Area,1000,8/26/2020,2%,Sales
406,kununu,Boston,,8/26/2020,,Recruiting
407,Superloop,Brisbane     N,30,8/24/2020,,Infrastruc…
408,Spaces,Los Angeles,,8/24/2020,,Media
409,StreamSets,SF Bay Area,,8/20/2020,,Data
410,Docly,London     No,8,8/19/2020,80%,Healthcare
411,Mapify,Berlin     Non-,,8/19/2020,,Travel
412,Lumina Networks,SF Bay Area,,8/18/2020,100%,Infrastruc…
413,DJI,Shenzen     No,,8/17/2020,,Consumer
414,Shopify,Ottawa     Non,30,8/14/2020,,Retail
415,InVision,New York …,,8/14/2020,,Product
416,HopSkipDrive,Los Angeles,,8/12/2020,,Transport…
417,Mozilla,SF Bay Area,250,8/11/2020,25%,Consumer
418,Eatsy,Singapore,20,8/8/2020,100%,Food
419,Glossier,New York …,150,8/7/2020,38%,Retail
,,,,,,
420,The Appraisal La…,Montevideo,,8/7/2020,,Transport…
421,Thriver,Toronto     No,75,8/6/2020,50%,Food
422,Vesta,Atlanta,56,8/5/2020,,Sales
423,Booking.com,Amsterdam,4375,7/30/2020,25%,Travel
424,Buy.com / Rakuten,SF Bay Area,87,7/30/2020,100%,Retail
425,tZero,New York …,,7/30/2020,,Finance
426,Pared,SF Bay Area,,7/29/2020,,Food
427,Procore,Los Angeles,180,7/28/2020,9%,Construct…
428,Swiggy,Bengaluru,350,7/27/2020,5%,Food
429,Zeitgold,Berlin     Non-,75,7/27/2020,72%,Finance
430,Perkbox,London     No,,7/27/2020,,HR
431,Checkr,SF Bay Area,64,7/23/2020,12%,HR
