Date,Open,High,Low,Close,Adj Close,Volume
2022-01-20,287.429993,289.570007,276.329987,276.350006,276.350006,8354400
2022-01-21,275.000000,282.000000,271.510010,271.750000,271.750000,13260900
2022-01-24,266.200012,275.390015,257.239990,275.230011,275.230011,12567600
2022-01-25,267.440002,270.739990,262.859985,264.329987,264.329987,8467700
2022-01-26,272.450012,278.890015,263.899994,268.140015,268.140015,10263700
2022-01-27,270.829987,271.390015,255.940002,256.690002,256.690002,11044300
2022-01-28,256.410004,262.070007,249.360001,261.690002,261.690002,10955700
2022-01-31,263.459991,275.399994,261.940002,275.399994,275.399994,7234400
2022-02-01,277.290009,277.500000,270.209991,276.579987,276.579987,5842700
2022-02-02,282.660004,284.040009,278.000000,283.640015,283.640015,5909700
2022-02-03,276.640015,280.549988,270.000000,271.059998,271.059998,8345300
2022-02-04,269.940002,274.859985,266.480011,272.529999,272.529999,4939600
2022-02-07,273.769989,276.929993,271.670013,272.959991,272.959991,5159700
2022-02-08,271.179993,279.390015,270.540009,278.549988,278.549988,5062400
2022-02-09,282.790009,288.309998,279.209991,288.250000,288.250000,10148600
2022-02-10,281.859985,290.350006,278.299988,279.619995,279.619995,8309800
2022-02-11,280.000000,282.019989,263.579987,265.250000,265.250000,11684900
2022-02-14,266.140015,270.660004,261.760010,265.070007,265.070007,7788800
2022-02-15,271.010010,279.809998,270.170013,279.489990,279.489990,6405900
2022-02-16,275.970001,280.179993,273.230011,279.429993,279.429993,5010500
2022-02-17,275.959991,276.309998,268.000000,268.230011,268.230011,7916500
2022-02-18,269.130005,269.609985,261.700012,265.250000,265.250000,8618200
2022-02-22,262.290009,269.690002,259.540009,263.429993,263.429993,8937400
2022-02-23,267.750000,269.779999,257.200012,257.910004,257.910004,7617900
2022-02-24,247.929993,266.799988,246.759995,266.760010,266.760010,10755100
2022-02-25,266.529999,270.570007,262.820007,270.480011,270.480011,8865500
2022-02-28,266.459991,270.859985,262.980011,268.149994,268.149994,8919900
2022-03-01,267.230011,269.059998,257.119995,259.690002,259.690002,8285500
2022-03-02,261.630005,269.619995,260.980011,268.190002,268.190002,8286800
2022-03-03,269.029999,269.130005,260.790009,262.410004,262.410004,8257600
2022-03-04,259.549988,261.559998,252.300003,255.350006,255.350006,8078800
2022-03-07,255.710007,257.549988,242.509995,242.639999,242.639999,8864300
2022-03-08,243.020004,255.179993,239.649994,246.300003,246.300003,12940400
2022-03-09,254.880005,258.700012,251.649994,257.000000,257.000000,6672400
2022-03-10,252.229996,252.600006,246.699997,251.440002,251.440002,7498900
2022-03-11,255.190002,255.679993,245.559998,245.789993,245.789993,7382600
2022-03-14,245.550003,246.839996,237.320007,238.690002,238.690002,11685700
2022-03-15,240.919998,249.360001,239.130005,248.690002,248.690002,10416900
2022-03-16,253.179993,261.859985,250.860001,261.859985,261.859985,11573700
2022-03-17,259.269989,263.500000,257.119995,263.500000,263.500000,6714600
2022-03-18,261.269989,270.029999,260.279999,269.190002,269.190002,8070200
2022-03-21,268.420013,270.570007,263.829987,268.559998,268.559998,6948600
2022-03-22,268.589996,273.390015,267.929993,270.410004,270.410004,5823600
2022-03-23,267.799988,271.160004,263.489990,263.649994,263.649994,7705500
2022-03-24,266.809998,276.519989,265.200012,276.480011,276.480011,8455800
2022-03-25,276.100006,276.500000,270.890015,275.329987,275.329987,5511800
2022-03-28,273.320007,277.459991,270.070007,277.329987,277.329987,6612600
2022-03-29,282.429993,284.420013,278.320007,283.600006,283.600006,7173000
2022-03-30,281.959991,282.660004,273.809998,275.369995,275.369995,7253900
2022-03-31,274.750000,276.750000,269.140015,269.790009,269.790009,7763300
2022-04-01,270.790009,271.769989,261.589996,265.420013,265.420013,7733800
2022-04-04,266.079987,270.170013,265.230011,269.799988,269.799988,5802200
2022-04-05,267.929993,268.089996,257.420013,258.160004,258.160004,11110200
2022-04-06,252.759995,256.899994,249.949997,252.820007,252.820007,11271400
2022-04-07,251.710007,255.229996,248.110001,252.860001,252.860001,7573500
2022-04-08,251.440002,251.440002,246.419998,246.850006,246.850006,6825000
2022-04-11,243.259995,244.690002,240.940002,241.300003,241.300003,7813900
2022-04-12,246.130005,248.110001,239.210007,240.000000,240.000000,10548400
2022-04-13,242.300003,247.710007,240.779999,245.699997,245.699997,8241400
2022-04-14,246.970001,247.220001,238.149994,238.220001,238.220001,7639300
2022-04-18,237.220001,244.339996,237.089996,242.300003,242.300003,7121500
2022-04-19,240.929993,247.770004,239.919998,247.460007,247.460007,6613900
2022-04-20,251.570007,253.270004,246.160004,247.009995,247.009995,6517300
2022-04-21,250.039993,252.750000,239.179993,240.240005,240.240005,9004500
2022-04-22,239.960007,241.429993,234.539993,234.729996,234.729996,7125500
2022-04-25,233.160004,238.800003,232.399994,238.789993,238.789993,9541600
2022-04-26,236.320007,236.589996,228.610001,228.610001,228.610001,9144500
2022-04-27,225.960007,232.970001,225.800003,227.509995,227.509995,7378200
2022-04-28,232.410004,242.669998,229.669998,240.500000,240.500000,9548500
2022-04-29,235.929993,241.190002,229.429993,229.850006,229.850006,7243200
2022-05-02,229.889999,236.710007,227.729996,236.539993,236.539993,8199600
2022-05-03,235.720001,240.009995,234.110001,238.479996,238.479996,5312670
